user_id,isbn,star_rating,review_text,review_date
1,9780963625526,4.0,,2023-03-03 21:05:36.562762
1,9780312199432,1.6,,2023-12-02 18:05:21.276483
1,9781400034956,1.7,,2021-05-11 18:39:41.011130
1,9780312273224,1.1,,2022-08-26 00:34:35.641685
1,9781569755662,0.9,,2020-11-21 12:46:43.086456
1,9781579126254,1.6,,2022-08-07 13:07:22.927269
1,9780312934439,4.6,,2023-06-11 08:22:12.651620
1,9781598169461,1.1,,2021-11-13 08:52:19.798320
1,9780785116349,1.6,Cause before television begin. Rule political coach rise nation increase others school. Sound maybe mother face fall the phone. Service prevent teacher decade. Commercial player article wear national against environment.,2022-07-07 03:33:52.217371
1,9781594201080,4.5,Beautiful rock control wall. Actually station evidence fire man. Choice turn oil behavior research year bar. Major agent animal price fill condition. Foreign half think.,2023-11-20 04:31:32.969810
2,9780449003886,4.0,,2021-04-27 21:28:18.306386
2,9780373289806,1.9,Democrat eight organization somebody. Republican city mission paper until message. Friend when likely theory according short.,2023-01-02 08:37:20.197340
2,9780618346257,1.3,,2022-10-23 04:43:34.260285
2,9780451452580,2.4,,2023-06-15 05:24:04.160786
2,9780345441706,3.1,Player teacher some threat drop. Sort book politics throw prepare ability perhaps. Especially everybody boy law. Call most health politics hot need out.,2022-12-27 01:33:55.336545
2,9780743444040,4.7,,2022-02-25 03:52:20.832445
2,9781598160147,4.5,Wide ask environment. Federal think could so. Project big everything science skin standard field. Actually draw relate debate again finally consumer. Hand drop action. Adult ask high we make investment. Thus role network the.,2023-06-28 08:34:19.421059
2,9780670261550,2.2,,2021-07-26 07:35:09.190199
3,9780201498400,3.5,Next skill edge bit. Whose your term mission upon institution owner. Society hold crime rule enter. View yard consider return describe imagine. Why natural listen available tax. Beyond job bad cost evidence account theory.,2022-02-12 14:18:41.623732
3,9780374523930,3.4,Great culture go build board perform. Often majority different imagine second edge. Not example wide. They almost learn between class. Believe husband relate onto four. Mind game child cultural foot everything.,2023-06-26 03:41:34.654858
3,9780140621624,4.4,,2024-02-12 17:06:19.686346
3,9780687002825,2.0,,2022-07-25 13:25:08.166260
3,9781564783936,2.9,,2023-07-11 16:28:26.510025
